Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
2695,78703,UT Austin,1.58,"2005 Griswold Ln #B, Austin, TX 78703",2,2,1600,30.289902,-97.762886,zillow.com/homedetails/2005-Griswold-Ln-B-Austin-TX-78703/2133240138_zpid/
1955,78652,UT Austin,12.14,"827 Camino Vaquero Pkwy, Austin, TX",2,2,,30.123463,-97.804634,zillow.com/b/view-at-estancia-austin-tx-CCCv7q/
2250,78741,UT Austin,3.73,"1700 Willow Creek Dr, Austin, TX",2,2,,30.235699,-97.72755,zillow.com/apartments/austin-tx/the-sondery/9LSPXN/
2884,78701,UT Austin,1.63,"301 Brazos St, Austin, TX",2,2,,30.265991,-97.74181,zillow.com/apartments/austin-tx/whitley/5XhtCV/
1344,78753,UT Austin,10.12,"1501 E Howard Ln, Austin, TX",2,2,,30.425362,-97.67432,zillow.com/apartments/austin-tx/bridge-at-harris-ridge/BKhm4Q/
2226,78753,UT Austin,10.12,"1501 W Howard Ln, Austin, TX",2,2,,30.425362,-97.67432,zillow.com/b/the-kelsey-at-scofield-farms-austin-tx-CCYKJB/
2530,78758,UT Austin,6.71,"10300 Metropolitan Dr, Austin, TX",2,2,,30.384886,-97.717834,zillow.com/b/the-bond-austin-tx-9LTFhc/
2636,78702,UT Austin,2.36,"2400 E 6th St, Austin, TX",2,2,,30.25985,-97.715866,zillow.com/apartments/austin-tx/e6/63F9FD/
1800,78745,UT Austin,5.44,"122 Sheraton Ave, Austin, TX",2,2,,30.215004,-97.76748,zillow.com/apartments/austin-tx/prospect/CCBVCd/
1462,78744,UT Austin,7.22,"4506 E William Cannon Dr, Austin, TX",2,2,,30.185808,-97.75461,zillow.com/b/bridges-at-canyon-view-austin-tx-65bVvZ/
1475,78753,UT Austin,5.38,"8926 N Lamar Blvd, Austin, TX",2,2,,30.360119,-97.699776,zillow.com/apartments/austin-tx/aubry-hills-apartments/5XhsxZ/
2250,78744,UT Austin,7.4,"7733 Burleson Rd, Austin, TX",2,2,,30.187958,-97.69547,zillow.com/apartments/austin-tx/citizen-house-bergstrom/BsX3t6/
2023,78747,UT Austin,11.37,"2213 Cascades Ave, Austin, TX",2,2,,30.133038,-97.79727,zillow.com/apartments/austin-tx/cascades-at-onion-creek/CJ2nfr/
3029,78723,UT Austin,2.33,"1414 E 51st St, Austin, TX",2,2,,30.306755,-97.703255,zillow.com/apartments/austin-tx/solomon/9T5bqM/
2328,78704,UT Austin,2.38,"127 E Riverside Dr, Austin, TX",2,2,,30.255602,-97.745964,zillow.com/apartments/austin-tx/crescent/5Xht3Y/
2481,78735,UT Austin,7.79,"6401 Rialto Blvd, Austin, TX",2,2,,30.25001,-97.85891,zillow.com/apartments/austin-tx/pearl-lantana/65gHZp/
1937,,UT Austin,4.37,"6117 Fm 696, Austin, TX",2,2,,30.282854,-97.66359,zillow.com/apartments/austin-tx/citizen-house-mlk/CJDCNx/
1900,78741,UT Austin,4.97,"6507 E Riverside Dr, Austin, TX",2,2,,30.223694,-97.70157,zillow.com/apartments/austin-tx/crosstown/9T5f39/
1970,78741,UT Austin,4.88,"6400 E Riverside Dr, Austin, TX",2,2,,30.225224,-97.701324,zillow.com/apartments/austin-tx/urban-east/9T5f32/
2515,78721,UT Austin,3.45,"5400 Jain Ln, Austin, TX",2,2,,30.262774,-97.68724,zillow.com/apartments/austin-tx/broadstone-east-end/C2RvCp/
2182,78731,UT Austin,2.17,"4424 Jackson Ave, Austin, TX",2,2,,30.317192,-97.75281,zillow.com/apartments/austin-tx/korina-%26-alder-at-the-grove/Bj6wfT/
3334,78701,UT Austin,1.84,"101 Colorado St, Austin, TX",2,2,,30.263712,-97.745705,zillow.com/apartments/austin-tx/ashton-austin/5Xhsw2/
1709,78758,UT Austin,8.7,"12349 Metric Blvd, Austin, TX",2,2,,30.409672,-97.69474,zillow.com/apartments/austin-tx/camden-huntingdon/5Xhstt/
2089,78751,UT Austin,2.33,"5400 N Lamar Blvd, Austin, TX",2,2,,30.322506,-97.73117,zillow.com/b/camden-lamar-heights-austin-tx-9jxmYs/
1895,78705,UT Austin,0.6,"2515 Pearl St, Austin, TX",2,2,,30.290554,-97.74633,zillow.com/apartments/austin-tx/texan-pearl/5XjfMM/
1989,78754,UT Austin,9.01,"12601 Innovar Cir, Austin, TX",2,2,,30.37954,-97.62759,zillow.com/apartments/austin-tx/the-vaughan/C6bhwZ/
1952,78735,UT Austin,8.51,"7601 Rialto Blvd, Austin, TX",2,2,,30.253077,-97.872826,zillow.com/apartments/austin-tx/lantana-hills/5Xhswx/
3272,78723,UT Austin,2.11,"1911 Philomena St, Austin, TX",2,2,,30.299946,-97.703384,zillow.com/apartments/austin-tx/amli-branch-park/C5qnF5/
4398,78701,UT Austin,1.58,"303 W 5th St, Austin, TX",2,2,,30.267775,-97.745964,zillow.com/apartments/austin-tx/hanover-republic-square/9T5VQT/
1475,78745,UT Austin,7.0,"412 E William Cannon Dr, Austin, TX",2,2,,30.193075,-97.77423,zillow.com/apartments/austin-tx/willow-brook-apartments/5XhtGF/
2238,78745,UT Austin,7.86,"7731 Menchaca Rd, Austin, TX",2,2,,30.194897,-97.81044,zillow.com/apartments/austin-tx/perch/Btsj4b/
2010,78741,UT Austin,5.19,"The Monroe, 2511 Montopolis Dr #354, Austin, TX 78741",2,2,1046,30.218279,-97.70717,zillow.com/apartments/austin-tx/the-monroe/9LSQZn/
1831,78759,UT Austin,7.14,"10011 Stonelake Blvd, Austin, TX",2,2,,30.392448,-97.738144,zillow.com/apartments/austin-tx/cortland-arboretum/5hS6Kb/
1591,78681,UT Austin,13.36,"2800 La Frontera Blvd, Round Rock, TX",2,2,,30.477633,-97.68664,zillow.com/apartments/round-rock-tx/enclave-at-la-frontera/5Xht49/
2173,78724,UT Austin,6.11,"8101 Loyola Ln, Austin, TX",2,2,,30.293488,-97.63414,zillow.com/apartments/austin-tx/bluestem-at-loyola/C4dxDm/
1556,78717,UT Austin,13.49,"9520 Spectrum Dr, Austin, TX",2,2,,30.482141,-97.77008,zillow.com/apartments/austin-tx/95twenty-apartments/5XkbB8/
2400,78758,UT Austin,6.02,"9127 Research Blvd, Austin, TX",2,2,,30.376022,-97.72927,zillow.com/apartments/austin-tx/presidium-waterford/C8g9Qn/
1785,78724,UT Austin,9.22,"10346 Blue Bluff Rd, Austin, TX",2,2,,30.318628,-97.58585,zillow.com/apartments/austin-tx/citizen-house-blue-bluff/CZ8s5f/
2655,78759,UT Austin,7.38,"10801 N Mopac Expy, Austin, TX",2,2,,30.395721,-97.731544,zillow.com/apartments/austin-tx/alexan-braker-pointe/9T5kw7/
1831,78717,UT Austin,14.1,"9225 N Lake Creek Pkwy, Austin, TX",2,2,,30.485683,-97.80001,zillow.com/apartments/austin-tx/avery-ranch/9jb9BB/
2255,78717,UT Austin,13.21,"13460 Lyndhurst St, Austin, TX",2,2,,30.47534,-97.78615,zillow.com/apartments/austin-tx/the-asher/CFXVxp/
1609,78723,UT Austin,2.4,"1200 Broadmoor Dr, Austin, TX",2,2,,30.311014,-97.705315,zillow.com/apartments/austin-tx/the-lowell-at-mueller/5Xht39/
